donor_name,donor_id,low_gift_amount,likely_gift_amount,stretch_gift_amount
"Lacrecia, Martinez-Mendez",1,927000,1854000,4635000
"De Andre, Williams",2,842000,1684000,4210000
"Aasiya, al-Kazemi",3,692000,1384000,3460000
"Ajunae, Alexander",4,583000,1166000,2915000
"Amber, Baker",5,921000,1842000,4605000
"Schyeler, Blaze",6,884000,1768000,4420000
"Deshante, Embray",7,702000,1404000,3510000
"David, Suen",8,874000,1748000,4370000
"Antonia, Orozco",9,626000,1252000,3130000
"Zondra, Searle",10,865000,1730000,4325000
